肌の焼けている,ガタイのいい,おじさん
眼鏡をかけた,背の高い,お兄さん
髪の短い,半袖短パンの,女性
射水市に住んでいる,浴衣を着た,女性
ビールを飲んでいる,サンダルをはいた,おじさん
ポロシャツを着た,サンダルを履いている,小学生
眼鏡をかけた,優しそうな,おじさん
うちわを持っている,夏が似合う,お兄さん
青色の服を着た,髪の短い,お兄さん
白色の服を着た,かわいい,お姉さん
紺色の服を着た,かっこい,お兄さん
サングラスをかけた,半袖短パンの,お兄さん
背の高い,スリムな,紳士っぽい人
Tシャツを着た,飲み物を持っている,女性
首に,タオルをかけた,おじさん
黒い靴を履いた,帽子をかぶっている,人
ジーパンをはいている,髪の短い,お兄さん
ジーパンと,サンダルをはいている,人
ジーパンをはいている,明るそうな,女性
麦わら帽子をかぶった,夏が似合う,人
サンダルをはいた,茶髪の,お兄さん
Tシャツを着た,子供連れの,お母さん
大門に住んでいる,元気のよさそうな,女性
いみず祭りに,初めて来た,夫婦
いみず祭りに,初めて来た,お兄さん
いみず祭りに,初めて来た,射水市に住んでいる人
いみず祭りに,初めて来た,女性
